state,public_facility_count,public_record_count,record_count_with_cbi_volume,unique_chemical_count
AK,10,55,4,43
AL,112,682,321,391
AR,51,318,179,220
AZ,48,214,38,113
CA,195,1652,646,782
CO,43,208,72,156
CT,37,557,192,443
DE,19,263,187,205
FL,108,1481,862,694
GA,163,1618,584,901
HI,7,77,15,69
IA,107,431,128,188
ID,17,63,14,53
IL,201,2596,1362,1079
IN,158,1180,350,573
KS,80,574,300,354
KY,88,588,249,386
LA,179,1889,1182,850
MA,37,309,109,230
MD,21,139,78,98
ME,19,63,6,34
MI,107,1721,1093,800
MN,81,1174,301,547
MO,93,550,295,376
MS,39,256,91,177
MT,19,197,137,133
NC,129,1276,508,934
ND,33,165,35,109
NE,49,109,25,48
NH,10,85,9,76
NJ,130,9271,2651,1899
NM,19,101,47,63
NV,23,76,19,56
NY,133,1650,514,964
OH,286,3787,2088,1535
OK,42,296,137,199
OR,48,180,62,123
PA,207,2280,1154,1181
PR,11,90,0,43
RI,13,100,51,75
SC,113,1614,487,828
SD,18,51,0,9
TN,124,1473,815,733
TX,530,5956,3489,2052
UT,25,207,42,142
VA,58,433,312,250
VI,1,10,0,10
VT,4,8,2,8
WA,74,688,225,406
WI,89,763,368,390
WV,48,418,225,325
WY,23,114,38,76
