source_row_id,record_id,chemical_key,facility_id,location_status,coordinate_status,rejection_reason,has_cbi_location,has_cbi_volume
24,cdr:24,CASRN:6428315,REDACTED_RECORD:24,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
25,cdr:25,CASRN:102716,REDACTED_RECORD:25,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
26,cdr:26,CASRN:57136,REDACTED_RECORD:26,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
45,cdr:45,CASRN:12069328,SRC:e5aeb78ea23da58244da6253,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
51,cdr:51,CASRN:10294345,SRC:e5aeb78ea23da58244da6253,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
52,cdr:52,CASRN:60004,SRC:e5aeb78ea23da58244da6253,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
53,cdr:53,CASRN:1313139,SRC:e5aeb78ea23da58244da6253,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
95,cdr:95,CASRN:646060,SRC:9b950ec117ae27ed87d47d56,ADDRESS_ONLY,MISSING,MISSING_COORDINATE,0,0
141,cdr:141,CASRN:1309428,REDACTED_RECORD:141,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
142,cdr:142,CASRN:1305620,REDACTED_RECORD:142,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
143,cdr:143,CASRN:5160021,REDACTED_RECORD:143,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
144,cdr:144,CASRN:5160021,REDACTED_RECORD:144,CBI,CBI,CBI_LOCATION_WITHHELD,1,1
220,cdr:220,CASRN:108952,REDACTED_RECORD:220,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
223,cdr:223,CASRN:744456,REDACTED_RECORD:223,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
271,cdr:271,CASRN:10486007,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
272,cdr:272,CASRN:10332339,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
273,cdr:273,CASRN:7631994,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
274,cdr:274,CASRN:10213793,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
275,cdr:275,CASRN:6834920,SRC:efee3ff6fc99daf1ad752e9c,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
281,cdr:281,CASRN:7664393,REDACTED_RECORD:281,CBI,CBI,CBI_LOCATION_WITHHELD,1,0
290,cdr:290,CASRN:12023915,SRC:b8c1ffea965d944fcc3989c6,SOURCE_COORDINATE,SOURCE_COORDINATE,NULL_ISLAND_COORDINATE,0,0
301,cdr:301,CASRN:68333799,SRC:9b950ec117ae27ed87d47d56,ADDRESS_ONLY,MISSING,MISSING_COORDINATE,0,0
